# Detector Types:
#  -- 0 -> NotUsed
#  -- 1 -> FIPPS Ge 
#  -- 2 -> IFIN Ge
#  -- 3 -> FIPPS AC
#  -- 4 -> IFIN AC
#  -- 5 -> Fission Tag
#  -- 6 -> LaBr3
#  -- 7 -> TAC
#
# In case of AC, CloverId -> Associated clover
#
# DetId:  0->3 for Ge
#         0    for IFIN AC
#         0->2 for FIPPS AC (Back, Front, Side)
#         id   for TAG, LaBr3, TAC
#
# GlobId is used mainly for histograming
#
#ADC    DetType     Clov/TAG Id    DetId      GlobId   TimeOffset    rangemin       rangemax

#HPGe
0          1		    0	     0  	00	     0     1	       32768		       
1	    1		    0	     1  	01	     -15     1	       32768		      
2	    1		    0	     2  	02	     -15     1	       32768		      
3 	    1		    0	     3  	03	     -15     1	       32768		      
4	    1		    1	     0  	04	     15     1	       32768		      
5	    1		    1	     1  	05	     -15     1	       32768		      
6	    1		    1	     2  	06	     -15   1	       32768		      
7	    1		    1	     3  	07	     -45     1	       32768	
8 	    1		    2	     0  	08	      65    1	      32768		     
9 	    1		    2	     1  	09	      45  1	      32768		     
10 	    1		    2	     2  	10	     95    1	      32768		     
11	    1		    2	     3  	11	     95    1	      32768		     
12	    1		    3	     0  	12	     35    1	      32768		     
13 	    1		    3	     1  	13	     65    1	      32768		     
14	    1		    3	     2  	14	     -2    1	      32768		     
15	    1		    3	     3  	15	     -2    1	      32768		      
16	    1		    4	     0  	16	     -70     1	      32768		     
17	    1		    4	     1  	17	     -50     1	       32768		      
18	    1		    4	     2  	18	     -90     1	       32768		      
19	    1		    4	     3  	19	     -10     1	       32768		      
20	    1		    5	     0  	20	     -40     1	       32768		     
21	    1		    5	     1  	21	     -70     1	       32768
22	    1		    5	     2  	22	     14     1	       32768		   
23	    1		    5	     3  	23	     10     1	       32768		   
24  	    1		    6	     0  	24	     10     1	       32768		    
25 	    1		    6	     1  	25	     10     1	       32768		    
26  	    1		    6	     2  	26	     10     1	       32768		    
27  	    1		    6	     3  	27	     10     1	       32768		    
28  	    1		    7	     0  	28	     14     1	       32768		    
29  	    1		    7	     1  	29	     10     1	       32768		    
30  	    1		    7	     2  	30	     10     1	       32768		    
31  	    1		    7	     3  	31	     10     1	       32768	
     
	    
							   
							   
							     
							     
							



							   
